id;task_id;assignee_id;assign_at;user_id;created_date;created_by;last_modified_date;last_modified_by
1;15939;28778;2025-04-15T13:55:40;96624;2025-04-15T20:08:03;purple;2025-04-16T05:15:53;Home Loan Account haptic compelling
2;68403;44556;2025-04-15T17:29:10;52805;2025-04-16T03:08:33;Lodge;2025-04-15T16:02:22;Latvia adapter e-enable
3;36762;8867;2025-04-15T21:13:09;75423;2025-04-15T14:41:02;Auto Loan Account;2025-04-16T04:42:59;compressing
4;30222;96229;2025-04-16T02:08:07;13577;2025-04-16T01:30:17;RAM Ethiopian Birr Monitored;2025-04-15T13:34:13;transmit Electronics Home Loan Account
5;89000;25599;2025-04-16T04:28:26;66617;2025-04-15T15:59:23;invoice Ridge Planner;2025-04-15T22:28:48;Sports Mobility
6;77020;47105;2025-04-15T13:07:57;21826;2025-04-15T23:19:38;District Applications Gorgeous Rubber Hat;2025-04-15T11:29:11;index invoice
7;67599;97168;2025-04-16T00:27:27;26453;2025-04-15T23:21:21;Hat port Garden;2025-04-16T03:27:29;utilisation
8;24744;94216;2025-04-16T07:01:44;41411;2025-04-15T08:30:58;Fantastic;2025-04-15T08:49:41;Auto Loan Account Frozen Realigned
9;97038;6033;2025-04-15T17:07:18;55419;2025-04-15T13:12:03;Tuna regional;2025-04-15T11:11:00;deposit
10;26171;28227;2025-04-15T16:20:16;56177;2025-04-16T03:02:49;Bahamian Dollar payment sensor;2025-04-15T19:45:32;structure
