id;leave_date;reason;status;approved_user_id;approved_name;reply;user_id;created_date;created_by;last_modified_date;last_modified_by
1;2025-05-21T16:51:46;value-added Global Health;Steel;17783;deposit Estates recontextualize;Uganda Shilling Cook Islands;29737;2025-05-20T22:01:38;monitor;2025-05-21T10:45:44;Squares
2;2025-05-21T15:36:21;Global;CSS;88493;Agent Steel;invoice;38742;2025-05-21T18:32:42;Gloves;2025-05-21T18:37:38;redundant override intuitive
3;2025-05-21T16:30:57;pink;violet digital;36376;Shirt 24/365 Licensed Granite Cheese;eco-centric Soft;38770;2025-05-21T03:32:30;HTTP bypass deposit;2025-05-21T14:39:01;architect violet
4;2025-05-20T20:29:14;Metal;engage;40333;gold;withdrawal Movies;16528;2025-05-21T03:17:59;redefine;2025-05-21T11:25:44;Electronics Money Market Account programming
5;2025-05-21T18:46:34;payment Frozen;maximize;37457;Money Market Account Buckinghamshire;card transition firewall;33397;2025-05-21T15:24:31;mesh;2025-05-21T17:47:56;Beauty
6;2025-05-21T06:35:49;Specialist National Brook;Ergonomic Concrete Soap Configuration red;50914;programming digital;Handmade Steel Pizza Keyboard;15424;2025-05-21T06:30:05;convergence;2025-05-20T21:01:24;multi-byte Unbranded
7;2025-05-21T11:48:20;olive CFA Franc BEAC orchestrate;Garden bus;91869;Bulgaria drive Money Market Account;generate;32791;2025-05-21T03:45:43;Bedfordshire;2025-05-21T05:57:45;Investment Account Avon
8;2025-05-20T21:19:06;invoice;Wooden intranet Checking Account;44304;24/7 Practical Wooden Car;Fresh encompassing;40799;2025-05-21T19:25:49;HTTP optical;2025-05-20T22:47:40;port
9;2025-05-20T23:18:14;real-time Incredible;deposit;49075;systemic;strategize Lead;57692;2025-05-21T06:36:36;Drive;2025-05-21T11:16:59;Crescent Garden
10;2025-05-21T05:50:38;visionary programming;neural-net bypassing;6510;Fresh New Hampshire;generate;76810;2025-05-21T16:44:02;Frozen;2025-05-20T21:28:25;process improvement
